,age,workclass,fnlwgt,education,educational-num,marital-status,race,gender,capital-gain,capital-loss,hours-per-week,native-country,y
1217,28.0,0.0,150025.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,40.0,12.0,0.0
23059,51.0,0.0,180807.0,3.0,10.0,3.0,1.0,1.0,0.0,0.0,40.0,0.0,0.0
35270,40.0,2.0,507086.0,1.0,9.0,3.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0
37710,32.0,0.0,118551.0,8.0,14.0,0.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0
29861,38.0,3.0,112158.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,99.0,0.0,0.0
19611,36.0,2.0,356838.0,13.0,8.0,0.0,1.0,0.0,0.0,0.0,35.0,0.0,0.0
27808,52.0,0.0,226084.0,1.0,9.0,2.0,1.0,1.0,0.0,0.0,40.0,0.0,0.0
46362,39.0,0.0,89040.0,11.0,11.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
27692,21.0,0.0,254904.0,1.0,9.0,0.0,1.0,1.0,0.0,0.0,30.0,0.0,0.0
5968,32.0,1.0,226296.0,8.0,14.0,1.0,1.0,0.0,0.0,0.0,50.0,0.0,1.0
11675,61.0,5.0,347445.0,8.0,14.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,1.0
21320,44.0,4.0,44822.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
33669,39.0,0.0,141584.0,8.0,14.0,0.0,1.0,0.0,0.0,2444.0,45.0,0.0,1.0
36371,63.0,3.0,404547.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,30.0,0.0,0.0
45623,31.0,0.0,184889.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0
17282,50.0,0.0,168212.0,9.0,16.0,1.0,1.0,0.0,0.0,1902.0,65.0,0.0,1.0
38876,50.0,0.0,55527.0,2.0,12.0,3.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0
26811,67.0,1.0,233681.0,2.0,12.0,1.0,1.0,0.0,0.0,0.0,35.0,0.0,0.0
45333,29.0,0.0,124953.0,7.0,13.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,0.0
22764,43.0,0.0,170214.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,50.0,0.0,1.0
46750,27.0,3.0,259873.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,1.0
